player_image_url,player_name,player_country,player_club,player_position,player_stats_url
https://resources.premierleague.com/premierleague25/photos/players/110x140/141746.png,Bruno Fernandes,Portugal,Manchester United,Midfielder,https://www.premierleague.com/en/players/141746/bruno-fernandes/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/47431.png,Willian,Brazil,Fulham,Forward,https://www.premierleague.com/en/players/47431/willian/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Aidan Borland,Scotland,Aston Villa,Midfielder,https://www.premierleague.com/en/players/576767/aidan-borland/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Alex Borto,United States,Fulham,Goalkeeper,https://www.premierleague.com/en/players/468682/alex-borto/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/220237.png,Sven Botman,Netherlands,Newcastle United,Defender,https://www.premierleague.com/en/players/220237/sven-botman/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/178186.png,Jarrod Bowen,England,West Ham United,Forward,https://www.premierleague.com/en/players/178186/jarrod-bowen/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/245830.png,Josh Bowler,England,Nottingham Forest,Midfielder,https://www.premierleague.com/en/players/245830/josh-bowler/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/492777.png,Conor Bradley,Northern Ireland,Liverpool,Defender,https://www.premierleague.com/en/players/492777/conor-bradley/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Zak Bradshaw,England,Ipswich Town,Defender,https://www.premierleague.com/en/players/538292/zak-bradshaw/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Cameron Bragg,England,Southampton,Midfielder,https://www.premierleague.com/en/players/496932/cameron-bragg/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Kaden Braithwaite,England,Manchester City,Defender,https://www.premierleague.com/en/players/554054/kaden-braithwaite/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/480455.png,Jarrad Branthwaite,England,Everton,Defender,https://www.premierleague.com/en/players/480455/jarrad-branthwaite/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Sammy Braybrooke,England,Leicester City,Midfielder,https://www.premierleague.com/en/players/519223/sammy-braybrooke/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/184386.png,James Bree,England,Southampton,Defender,https://www.premierleague.com/en/players/184386/james-bree/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/204814.png,Ben Brereton,Chile,Southampton,Forward,https://www.premierleague.com/en/players/204814/ben-brereton/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/494041.png,Ethan Brierley,England,Brentford,Midfielder,https://www.premierleague.com/en/players/494041/ethan-brierley/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Logan Briggs,England,Leicester City,Midfielder,https://www.premierleague.com/en/players/565416/logan-briggs/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Spike Brits,England,Manchester City,Goalkeeper,https://www.premierleague.com/en/players/613120/spike-brits/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/173818.png,Nathan Broadhead,Wales,Ipswich Town,Forward,https://www.premierleague.com/en/players/173818/nathan-broadhead/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Ben Broggio,England,Aston Villa,Midfielder,https://www.premierleague.com/en/players/577731/ben-broggio/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/440323.png,Armando Broja,Albania,Everton,Forward,https://www.premierleague.com/en/players/440323/armando-broja/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Josh Brooking,England,Chelsea,Defender,https://www.premierleague.com/en/players/248854/josh-brooking/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/111317.png,David Brooks,Wales,Bournemouth,Midfielder,https://www.premierleague.com/en/players/111317/david-brooks/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Gerard Buabo,England,Ipswich Town,Forward,https://www.premierleague.com/en/players/538296/gerard-buabo/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/195546.png,Emiliano Buendía,Argentina,Aston Villa,Midfielder,https://www.premierleague.com/en/players/195546/emiliano-buendia/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/231480.png,Santiago Bueno,Uruguay,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/231480/santiago-bueno/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/490721.png,Hugo Bueno,Spain,Wolverhampton Wanderers,Defender,https://www.premierleague.com/en/players/490721/hugo-bueno/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/placeholder.png,Yan Couto,Brazil,Manchester City,Defender,https://www.premierleague.com/en/players/468236/yan-couto/stats
https://resources.premierleague.com/premierleague25/photos/players/110x140/536916.png,Facundo Buonanotte,Argentina,Leicester City,Midfielder,https://www.premierleague.com/en/players/536916/facundo-buonanotte/stats
